Timestamp,type,data,Column 1
11/26/2025 21:20:32,delivery,Travis Hallow::palomino_freeway::32::223.3::95.7,
11/26/2025 21:20:52,delivery,Many Santana::palomino_freeway::100::690.9::296.1,
11/26/2025 21:28:57,delivery,Travis Hallow::palomino_freeway::68::466.2::199.8,
11/26/2025 21:36:34,delivery,Many Santana::capital_boulevard::100::693.0::297.0,
11/26/2025 21:50:59,delivery,Many Santana::palomino_freeway::100::679.0::291.0,
11/26/2025 22:22:56,delivery,Ezekiel Reyes::route_68_5::100::700.0::300.0,
11/26/2025 22:25:08,delivery,tyson peterson::panorama_drive::100::693.0::297.0,
11/26/2025 22:50:16,delivery,tyson peterson::alhambra_drive::40::278.6::119.4,
11/26/2025 22:53:26,delivery,tyson peterson::alhambra_drive::60::415.8::178.2,
11/26/2025 23:27:08,delivery,tyson peterson::route_68_5::100::697.2::298.8,
11/26/2025 23:46:56,delivery,tyson peterson::senora_way::100::735.7::315.3,
11/26/2025 23:57:54,delivery,Melyna  Darillo::senora_freeway::100::707.7::303.3,
11/27/2025 0:20:04,delivery,Melyna  Darillo::clinton_avenue::100::715.4::306.6,
11/27/2025 0:37:40,delivery,Melyna  Darillo::clinton_avenue::100::708.4::303.6,
11/27/2025 0:57:15,delivery,Melyna  Darillo::clinton_avenue::100::701.4::300.6,
11/27/2025 1:15:13,delivery,Steeve Curtis::panorama_drive::100::692.3::296.7,
11/27/2025 1:16:04,delivery,Melyna  Darillo::strawberry_avenue::100::700.7::300.3,
11/27/2025 1:55:10,delivery,Ezekiel Reyes::senora_way::100::735.7::315.3,
11/27/2025 2:12:45,delivery,Ezekiel Reyes::route_68_3::100::693.0::297.0,
11/27/2025 2:41:18,delivery,Ezekiel Reyes::senora_freeway::100::728.7::312.3,
11/27/2025 2:57:08,delivery,Ezekiel Reyes::senora_way::100::728.7::312.3,
11/27/2025 3:16:59,delivery,Ezekiel Reyes::lindsay_circus::100::723.1::309.9,
11/27/2025 9:51:12,delivery,Andrew Parker::palomino_freeway::100::684.6::293.4,
11/27/2025 10:03:51,delivery,Andrew Parker::palomino_freeway::100::677.6::290.4,
11/27/2025 10:17:43,delivery,Andrew Parker::palomino_freeway::100::670.6::287.4,
11/27/2025 10:31:13,delivery,Andrew Parker::palomino_freeway::100::663.6::284.4,
11/27/2025 10:44:19,delivery,Andrew Parker::palomino_freeway::100::656.6::281.4,
11/27/2025 10:57:06,delivery,Andrew Parker::palomino_freeway::100::649.6::278.4,
11/27/2025 10:57:23,delivery,Alesandro  De Lucas::capital_boulevard::100::707.0::303.0,
11/27/2025 11:09:39,delivery,Andrew Parker::palomino_freeway::100::642.6::275.4,
11/27/2025 11:11:50,delivery,Alesandro  De Lucas::capital_boulevard::100::700.0::300.0,
11/27/2025 11:23:41,delivery,Andrew Parker::palomino_freeway::100::641.2::274.8,
11/27/2025 11:26:23,delivery,Alesandro  De Lucas::capital_boulevard::100::693.0::297.0,
11/27/2025 11:36:01,delivery,Andrew Parker::palomino_freeway::100::634.2::271.8,
11/27/2025 11:39:42,delivery,Alesandro  De Lucas::palomino_freeway::100::627.2::268.8,
11/27/2025 11:50:47,delivery,Andrew Parker::popular_street_2::100::693.0::297.0,
11/27/2025 11:58:19,delivery,Alesandro  De Lucas::capital_boulevard::100::686.0::294.0,
11/27/2025 12:38:23,delivery,Melyna  Darillo::strawberry_avenue::100::707.7::303.3,
11/27/2025 12:42:41,delivery,Alesandro  De Lucas::senora_way::100::724.5::310.5,
11/27/2025 12:54:51,delivery,Melyna  Darillo::clinton_avenue::100::714.0::306.0,
11/27/2025 13:11:19,delivery,Alesandro  De Lucas::senora_way::100::717.5::307.5,
11/27/2025 13:13:08,delivery,Melyna  Darillo::clinton_avenue::100::707.0::303.0,
11/27/2025 13:27:26,delivery,Alesandro  De Lucas::senora_way::100::710.5::304.5,
11/27/2025 13:29:38,delivery,Melyna  Darillo::capital_boulevard::100::685.3::293.7,
11/27/2025 13:43:58,delivery,Melyna  Darillo::clinton_avenue::100::705.6::302.4,
11/27/2025 14:03:04,delivery,Melyna  Darillo::palomino_freeway::100::624.4::267.6,
11/27/2025 14:10:34,delivery,Alesandro  De Lucas::senora_way::100::703.5::301.5,
11/27/2025 14:19:43,delivery,Melyna  Darillo::strawberry_avenue::100::700.7::300.3,
11/27/2025 14:26:41,delivery,Alesandro  De Lucas::senora_way::100::696.5::298.5,
11/27/2025 14:47:53,delivery,Andrew Parker::popular_street_2::100::690.9::296.1,
11/27/2025 14:49:08,delivery,Melyna  Darillo::strawberry_avenue::100::693.7::297.3,
11/27/2025 15:02:35,delivery,Andrew Parker::lindsay_circus::100::783.3::335.7,
11/27/2025 15:12:23,delivery,Alesandro  De Lucas::senora_way::100::689.5::295.5,
11/27/2025 15:18:39,delivery,Andrew Parker::lindsay_circus::100::779.8::334.2,
11/27/2025 15:29:28,delivery,Alesandro  De Lucas::capital_boulevard::100::678.3::290.7,
11/27/2025 15:41:22,delivery,Andrew Parker::lindsay_circus::100::772.8::331.2,
11/27/2025 15:47:42,delivery,Alesandro  De Lucas::senora_way::100::682.5::292.5,
11/27/2025 15:56:05,delivery,Andrew Parker::lindsay_circus::100::765.8::328.2,
11/27/2025 16:03:08,delivery,Alesandro  De Lucas::senora_way::100::675.5::289.5,
11/27/2025 16:11:04,delivery,Andrew Parker::lindsay_circus::100::758.8::325.2,
11/27/2025 16:26:22,delivery,Andrew Parker::lindsay_circus::100::744.8::319.2,
11/27/2025 16:38:18,delivery,Ezekiel Reyes::senora_freeway::100::752.5::322.5,
11/27/2025 16:40:13,delivery,Andrew Parker::palomino_freeway::100::627.9::269.1,
11/27/2025 17:46:10,delivery,Juan Darillo::senora_freeway::100::747.6::320.4,
11/27/2025 17:46:27,delivery,Alesandro  De Lucas::capital_boulevard::100::673.4::288.6,
11/27/2025 18:01:12,delivery,Alesandro  De Lucas::capital_boulevard::100::666.4::285.6,
11/27/2025 18:13:05,delivery,Juan Darillo::senora_freeway::100::740.6::317.4,
11/27/2025 18:30:42,delivery,Juan Darillo::senora_freeway::100::735.7::315.3,
11/27/2025 18:38:42,delivery,Alesandro  De Lucas::clinton_avenue::100::709.8::304.2,
11/27/2025 18:46:22,delivery,Juan Darillo::senora_freeway::100::732.9::314.1,
11/27/2025 18:55:57,delivery,Alesandro  De Lucas::lindsay_circus::100::744.1::318.9,
11/27/2025 19:14:32,delivery,Alesandro  De Lucas::lindsay_circus::100::737.1::315.9,
11/27/2025 19:22:51,delivery,Juan Darillo::senora_freeway::100::723.8::310.2,
11/27/2025 19:33:28,delivery,Alesandro  De Lucas::lindsay_circus::100::733.6::314.4,
11/27/2025 19:39:26,delivery,Juan Darillo::senora_freeway::100::716.8::307.2,
11/27/2025 19:53:58,delivery,Alesandro  De Lucas::lindsay_circus::100::726.6::311.4,
11/27/2025 19:56:28,delivery,Juan Darillo::senora_freeway::100::721.0::309.0,
11/27/2025 19:56:33,delivery,Ezekiel Reyes::senora_freeway::100::714.0::306.0,
11/27/2025 20:11:19,delivery,Alesandro  De Lucas::great_ocean_highway::100::791.7::339.3,
11/27/2025 20:11:31,delivery,Juan Darillo::senora_freeway::100::707.0::303.0,
11/27/2025 20:16:10,delivery,Ezekiel Reyes::great_ocean_highway::100::784.7::336.3,
11/27/2025 20:45:22,delivery,Ezekiel Reyes::great_ocean_highway::100::777.7::333.3,
11/27/2025 20:48:33,delivery,Alesandro  De Lucas::great_ocean_highway::100::770.7::330.3,
11/28/2025 0:42:38,delivery,Steeve Curtis::senora_freeway::100::719.6::308.4,
11/28/2025 0:56:25,delivery,Ezekiel Reyes::great_ocean_highway::100::795.9::341.1,
11/28/2025 1:01:49,delivery,Steeve Curtis::great_ocean_highway::100::788.9::338.1,
11/28/2025 1:12:30,delivery,Melyna  Darillo::clinton_avenue::100::745.5::319.5,
11/28/2025 1:15:50,delivery,Ezekiel Reyes::grapeseed_main_street::100::785.4::336.6,
11/28/2025 1:21:30,delivery,Steeve Curtis::senora_freeway::100::712.6::305.4,
11/28/2025 1:29:15,delivery,Melyna  Darillo::clinton_avenue::100::738.5::316.5,
11/28/2025 1:34:20,delivery,Ezekiel Reyes::lindsay_circus::100::750.4::321.6,
11/28/2025 1:39:11,delivery,Steeve Curtis::senora_freeway::100::705.6::302.4,
11/28/2025 1:46:19,delivery,Melyna  Darillo::clinton_avenue::100::731.5::313.5,
11/28/2025 2:08:33,delivery,Melyna  Darillo::strawberry_avenue::100::720.3::308.7,
11/28/2025 2:30:52,delivery,Melyna  Darillo::clinton_avenue::100::724.5::310.5,
11/28/2025 2:49:47,delivery,Melyna  Darillo::clinton_avenue::100::717.5::307.5,
11/28/2025 3:09:38,delivery,Melyna  Darillo::clinton_avenue::100::710.5::304.5,
11/28/2025 9:58:39,delivery,Alesandro  De Lucas::great_ocean_highway::100::786.1::336.9,
11/28/2025 10:22:07,delivery,Alesandro  De Lucas::grapeseed_main_street::100::778.4::333.6,
11/28/2025 10:42:22,delivery,Alesandro  De Lucas::grapeseed_main_street::100::771.4::330.6,
11/28/2025 11:14:42,delivery,Alesandro  De Lucas::great_ocean_highway::100::779.1::333.9,
11/28/2025 11:37:05,delivery,Alesandro  De Lucas::great_ocean_highway::100::772.1::330.9,
11/28/2025 11:57:43,delivery,Angel Vargas::senora_way::100::715.4::306.6,
11/28/2025 12:13:04,delivery,Alesandro  De Lucas::lindsay_circus::100::759.5::325.5,
11/28/2025 12:29:15,delivery,Alesandro  De Lucas::lindsay_circus::100::752.5::322.5,
11/28/2025 12:33:45,delivery,Angel Vargas::senora_way::100::711.9::305.1,
11/28/2025 12:47:01,delivery,Alesandro  De Lucas::lindsay_circus::100::745.5::319.5,
11/28/2025 12:52:28,delivery,Angel Vargas::senora_way::100::704.9::302.1,
11/28/2025 13:05:24,delivery,Alesandro  De Lucas::south_rockford_drive::100::751.1::321.9,
11/28/2025 13:11:12,call,5557425164::true::99,
11/28/2025 13:14:04,delivery,Angel Vargas::grapeseed_main_street::100::764.4::327.6,
11/28/2025 13:36:22,call,5557425164::true::60,
11/28/2025 13:36:32,delivery,Alesandro  De Lucas::grapeseed_main_street::100::757.4::324.6,
11/28/2025 13:39:24,delivery,Angel Vargas::senora_freeway::100::731.5::313.5,
11/28/2025 13:43:36,call,5557425164::true::86,
11/28/2025 13:51:11,call,5554356383::true::166,
11/28/2025 13:58:17,delivery,Angel Vargas::senora_freeway::100::724.5::310.5,
11/28/2025 14:00:19,delivery,Alesandro  De Lucas::south_rockford_drive::100::746.2::319.8,
11/28/2025 14:13:44,delivery,Angel Vargas::senora_way::100::697.9::299.1,
11/28/2025 14:30:11,delivery,Angel Vargas::senora_freeway::100::717.5::307.5,
11/28/2025 14:57:15,delivery,Alesandro  De Lucas::lindsay_circus::100::738.5::316.5,
11/28/2025 15:16:43,delivery,Alesandro  De Lucas::south_rockford_drive::100::739.2::316.8,
11/28/2025 15:22:06,call,5555890559::true::86,
11/28/2025 15:35:16,delivery,Alesandro  De Lucas::grapeseed_main_street::100::765.1::327.9,
11/28/2025 15:50:44,delivery,Ezekiel Reyes::alhambra_drive::100::746.9::320.1,
11/28/2025 15:57:29,delivery,Alesandro  De Lucas::great_ocean_highway::100::769.3::329.7,
11/28/2025 16:02:38,delivery,Vincent Glover::grapeseed_main_street::100::758.1::324.9,
11/28/2025 16:08:10,delivery,Ezekiel Reyes::grapeseed_main_street::100::751.1::321.9,
11/28/2025 16:11:55,delivery,Bryan Miller::grapeseed_main_street::100::744.1::318.9,
11/28/2025 16:26:24,delivery,Vincent Glover::senora_freeway_2::100::707.0::303.0,
11/28/2025 16:26:45,delivery,Alesandro  De Lucas::great_ocean_highway::100::769.3::329.7,
11/28/2025 16:26:56,delivery,Ezekiel Reyes::alhambra_drive::100::739.9::317.1,
11/28/2025 16:35:20,delivery,Evelyn Price::senora_freeway::100::722.4::309.6,
11/28/2025 16:41:14,delivery,Bryan Miller::grapeseed_main_street::100::737.1::315.9,
11/28/2025 16:47:23,call,5557041291::true::108,
11/28/2025 16:48:53,delivery,Alesandro  De Lucas::great_ocean_highway::100::762.3::326.7,
11/28/2025 16:58:16,delivery,Vincent Glover::palomino_freeway::100::667.8::286.2,
11/28/2025 17:38:41,call,5554132422::true::32,
11/28/2025 17:47:35,delivery,Alesandro  De Lucas::lindsay_circus::100::740.6::317.4,
11/28/2025 17:49:04,delivery,Ezekiel Reyes::lindsay_circus::100::733.6::314.4,
11/28/2025 17:54:14,delivery,Evelyn Price::senora_freeway::100::725.9::311.1,
11/28/2025 18:01:38,call,5556657093::true::32,
11/28/2025 18:04:27,delivery,Alesandro  De Lucas::south_rockford_drive::100::732.2::313.8,
11/28/2025 18:13:04,delivery,Travis Hallow::senora_way::100::699.3::299.7,
11/28/2025 18:13:15,delivery,Evelyn Price::popular_street_2::100::706.3::302.7,
11/28/2025 18:18:08,delivery,Bryan Miller::capital_boulevard::100::681.1::291.9,
11/28/2025 18:29:06,delivery,Evelyn Price::popular_street_2::100::699.3::299.7,
11/28/2025 18:35:29,delivery,Bryan Miller::capital_boulevard::100::680.4::291.6,
11/28/2025 18:37:30,delivery,Issa Fofana::alhambra_drive::100::733.6::314.4,
11/28/2025 18:53:45,delivery,Travis Hallow::senora_way::100::697.9::299.1,
11/28/2025 18:54:00,delivery,Bryan Miller::alhambra_drive::100::726.6::311.4,
11/28/2025 18:59:03,delivery,Alesandro  De Lucas::south_rockford_drive::100::732.2::313.8,
11/28/2025 19:00:47,delivery,Issa Fofana::palomino_freeway::100::664.3::284.7,
11/28/2025 19:04:37,delivery,Ezekiel Reyes::alhambra_drive::100::730.8::313.2,
11/28/2025 19:14:19,delivery,Travis Hallow::senora_way::100::695.8::298.2,
11/28/2025 19:17:10,delivery,Issa Fofana::senora_way::100::688.8::295.2,
11/28/2025 19:17:53,delivery,Vincent Glover::senora_freeway::100::725.2::310.8,
11/28/2025 19:20:59,delivery,Alesandro  De Lucas::south_rockford_drive::100::725.2::310.8,
11/28/2025 19:23:32,delivery,Ezekiel Reyes::great_ocean_highway::100::755.3::323.7,
11/28/2025 19:31:29,delivery,Melyna  Darillo::clinton_avenue::100::720.3::308.7,
11/28/2025 19:31:33,delivery,Aaron Garcia::clinton_avenue::100::713.3::305.7,
11/28/2025 19:35:15,delivery,Issa Fofana::palomino_freeway::100::657.3::281.7,
11/28/2025 19:39:01,delivery,Vincent Glover::clinton_avenue::100::706.3::302.7,
11/28/2025 19:46:18,delivery,Aaron Garcia::alhambra_drive::100::723.8::310.2,
11/28/2025 19:50:39,delivery,Melyna  Darillo::lindsay_circus::100::726.6::311.4,
11/28/2025 19:51:37,delivery,Issa Fofana::palomino_freeway::100::658.7::282.3,
11/28/2025 19:58:47,delivery,Vincent Glover::strawberry_avenue::100::722.4::309.6,
11/28/2025 20:02:01,delivery,Ezekiel Reyes::great_ocean_highway::100::752.5::322.5,
11/28/2025 20:02:24,delivery,Pedro Alavrez::senora_way::100::681.8::292.2,
11/28/2025 20:04:52,delivery,Aaron Garcia::alhambra_drive::100::716.8::307.2,
11/28/2025 20:07:32,delivery,Melyna  Darillo::capital_boulevard::100::673.4::288.6,
11/28/2025 20:24:59,delivery,Ezekiel Reyes::great_ocean_highway::100::746.2::319.8,
11/28/2025 20:25:55,delivery,Aaron Garcia::alhambra_drive::100::709.8::304.2,
11/28/2025 20:27:12,delivery,Melyna  Darillo::clinton_avenue::100::703.5::301.5,
11/28/2025 20:28:02,delivery,Vincent Glover::great_ocean_highway::100::739.2::316.8,
11/28/2025 20:41:12,delivery,Juan Darillo::senora_freeway::100::726.6::311.4,
11/28/2025 20:42:51,delivery,Pedro Alavrez::alhambra_drive::100::707.7::303.3,
11/28/2025 20:58:02,delivery,Juan Darillo::senora_freeway::100::719.6::308.4,
11/28/2025 21:00:31,delivery,Pedro Alavrez::panorama_drive::100::726.6::311.4,
11/28/2025 21:02:16,call,5554968819::true::13,
11/28/2025 21:03:59,delivery,Vincent Glover::alta_street::100::732.9::314.1,
11/28/2025 21:13:36,delivery,Juan Darillo::senora_freeway::100::712.6::305.4,
11/28/2025 21:17:10,delivery,Pedro Alavrez::panorama_drive::35::253.4::108.6,
11/28/2025 21:18:40,delivery,Pedro Alavrez::alhambra_drive::35::248.5::106.5,
11/28/2025 21:20:03,delivery,Pedro Alavrez::panorama_drive::30::216.3::92.7,
11/28/2025 21:20:20,call,5558923400::true::68,
11/28/2025 21:21:30,delivery,Many Santana::capital_boulevard::100::666.4::285.6,
11/28/2025 21:36:17,delivery,Pedro Alavrez::panorama_drive::100::715.4::306.6,
11/28/2025 21:39:16,delivery,Kailon  Krixde::strawberry_avenue::100::722.4::309.6,
11/28/2025 21:51:30,call,5553274828::true::25,
11/28/2025 22:00:10,delivery,Kailon  Krixde::great_ocean_highway::100::743.4::318.6,
11/28/2025 22:14:15,call,5551898664::false::12,
11/28/2025 22:28:05,delivery,Kailon  Krixde::great_ocean_highway::100::742.0::318.0,
11/28/2025 22:28:19,delivery,Juan Darillo::senora_freeway::100::711.9::305.1,
11/28/2025 22:33:04,call,5555768805::true::48,
11/28/2025 22:34:27,delivery,Ezekiel Reyes::lindsay_circus::100::736.4::315.6,
11/28/2025 22:35:48,delivery,Aaron Garcia::alhambra_drive::100::702.1::300.9,
11/28/2025 22:51:25,call,5551699823::true::263,
11/28/2025 22:52:13,call,5555242597::true::62,
11/28/2025 22:56:37,delivery,Kailon  Krixde::strawberry_avenue::100::737.1::315.9,
11/28/2025 23:00:01,delivery,Aaron Garcia::alhambra_drive::100::695.1::297.9,
11/28/2025 23:18:00,delivery,Aaron Garcia::alhambra_drive::100::700.0::300.0,
11/28/2025 23:22:20,delivery,Anthony Brown::grapeseed_main_street::100::746.9::320.1,
